,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11089,-49.1106597850932,-33.30067394790605,15.809985837124318,65.76099675905293,-57.01565270367263,-25.39568102934597,47.33040449650782,89.01283212677477,-192.8783552606355,-1.7765130358504417,-54.784412644892925,-68.9298889295765
11090,-47.078107400483084,-33.187430540621975,13.890676859798159,63.671822670800765,-54.02344583039927,-26.242092110724744,48.27512190501299,98.42984907097016,-180.7480546954473,6.818483861814048,-48.47333630246822,-64.28163110824967
11091,-45.1058112810242,-33.05420014442366,12.05161113653748,61.63291135324273,-51.13161684930989,-27.02839457615654,50.58926390687872,107.00481410142854,-168.8921520213769,14.661846807809942,-42.56236737058303,-59.71363563353519
11092,-43.18377046053257,-32.960980952277296,10.22278950819209,59.66426093667792,-48.295165214645415,-27.849586198182653,52.452828656443145,114.78772653348226,-157.87059712833866,21.513576057015083,-37.461504476839536,-55.505901618208405
11093,-41.301983960080506,-32.857771150568155,8.444212809449047,57.73086953537129,-45.524090364821674,-28.63566474584482,54.655814324479365,122.06858576708957,-147.27334108669993,27.61367193319651,-33.110746242071805,-51.59842816167134
11094,-39.41045078797909,-32.694568919143734,6.715881868771931,55.75773524755766,-42.768391722381566,-29.336627984758742,56.69821909834706,129.007391287212,-137.10033615409878,33.21213482928588,-29.380091280377403,-48.01121434993203
11095,-37.47916993976077,-32.471372431357096,5.007797508340133,53.71485615544604,-39.98306869394722,-29.967473677187808,59.34004118214385,135.73414266418985,-127.1115357822424,38.38896520765345,-26.159538199149186,-44.74425925558412
11096,-35.5381403981624,-32.1881798541106,3.3499605439881455,51.63223032522444,-37.21312067017273,-30.5131995821171,63.41127879685648,142.33883955411628,-116.93689462368695,43.41416360038056,-23.099085599107212,-41.64756193778674
11097,-33.627361133108415,-31.81498934789975,1.8123717851448875,49.534855807065036,-34.533547025697,-30.908803455327693,66.49193018051169,148.4814816992093,-107.83636853859772,47.777730609530636,-20.908732074330906,-39.18112144224476
11098,-31.756831101694434,-31.3817990668575,0.3750320347730379,47.44773063512996,-31.944347119096975,-31.194283049471185,70.43199358832703,154.37206892818222,-98.99991460148956,52.07966690741878,-18.878476212291307,-36.9549368011892
11099,-29.896549248171087,-30.87860715879868,-0.9820579106916053,45.33585282757721,-29.405520292841196,-31.369636114144512,73.97146729286122,159.97060115661213,-90.84749110794726,56.2299732368797,-16.988316593883553,-34.91900703335805
11100,-28.01651450392816,-30.31541176526477,-2.298897261400738,43.17422038656735,-26.8670658732436,-31.464860395964994,78.34034958416447,165.4470783873066,-82.9390575813256,60.478650411534275,-14.858251793459512,-32.81333114397732
